LogID ,TraineeID,ProgramID,Duration ,Repetitions ,ProgramName
548,235526449,194,165,2,Yoga
549,409577692,334,91,5,Yoga
550,236779343,437,117,9,Functional Training
551,435473565,149,76,15,Pilates
552,793585678,105,84,4,Strength Training
553,503129939,238,172,5,CrossFit
554,876470057,126,186,9,Strength Training
555,576863127,406,107,9,Yoga
556,554397030,253,186,13,Yoga
557,254272488,282,199,8,Functional Training
558,632861581,359,151,5,Endurance Training
559,524822309,201,57,14,Endurance Training
560,147510221,263,94,10,Functional Training
561,300992700,106,158,4,Pilates
562,799794331,255,181,3,CrossFit
563,737982978,306,130,15,Functional Training
564,863185804,183,48,12,CrossFit
565,591024990,217,197,10,Functional Training
566,405938769,110,200,9,Functional Training
567,234885794,144,158,8,Personal Training
568,270889634,228,104,15,Personal Training
569,881728126,210,149,11,Personal Training
570,841991665,487,162,9,Pilates
571,801102276,379,125,2,Pilates
572,245027906,140,196,11,Functional Training
573,530809607,476,189,12,Yoga
574,803298715,247,120,15,Functional Training
575,305055940,289,129,13,Personal Training
576,908661863,134,179,12,CrossFit
577,288660885,195,81,6,Personal Training
578,585937837,458,95,2,Yoga
579,912753039,115,84,9,Yoga
580,446613401,177,90,4,Strength Training
581,669350991,286,71,9,Personal Training
582,445508607,489,88,8,Strength Training
583,641769847,292,133,3,Yoga
584,536141398,402,33,7,Functional Training
585,811904319,142,170,5,Endurance Training
586,407522427,408,180,15,Yoga
587,822169980,275,110,10,Pilates
588,383264932,396,111,3,Endurance Training
589,164886526,495,45,4,Yoga
590,709633849,246,128,15,Yoga
591,960228341,484,112,12,Personal Training
592,388640154,428,144,12,CrossFit
593,692122077,169,100,13,Pilates
594,213844671,227,38,3,Functional Training
595,879596283,154,87,10,Yoga
596,102146214,107,145,4,Endurance Training
597,694636801,127,143,5,CrossFit
598,114987984,326,195,11,Endurance Training
599,251440663,318,165,13,Endurance Training
600,572292220,415,142,4,Strength Training
601,203892044,150,104,9,Endurance Training
602,244011531,340,134,7,Yoga
603,249770070,432,39,10,Personal Training
604,139336933,117,191,2,Yoga
605,130903669,399,192,6,Yoga
606,166873018,171,162,8,Functional Training
607,985039990,294,110,13,Yoga
608,265814001,283,72,2,Yoga
609,127596657,170,164,6,Endurance Training
610,848133867,382,61,11,Pilates
611,451703195,222,55,4,Functional Training
612,245923972,362,134,4,Endurance Training
613,652743272,433,153,9,Personal Training
614,576757209,347,58,7,Functional Training
615,683154426,265,117,3,Strength Training
616,319359241,452,102,2,Personal Training
617,882838360,486,179,7,Functional Training
618,836994991,349,199,7,Strength Training
619,129973901,385,192,3,Yoga
620,999286476,113,172,14,CrossFit
621,937161596,214,63,9,CrossFit
622,454971672,259,125,11,CrossFit
623,414351236,204,189,6,Yoga
624,103361978,479,174,3,CrossFit
625,277094804,375,54,10,Personal Training
626,790270850,446,30,9,Personal Training
627,550555423,305,136,10,Yoga
628,314195936,178,120,8,Pilates
629,115880568,234,97,9,Pilates
630,156870000,147,91,12,Endurance Training
631,802851350,293,192,14,Functional Training
632,842716791,388,97,14,Pilates
633,270592749,355,77,5,Personal Training
634,629804380,376,54,13,Endurance Training
635,866774658,475,58,7,Pilates
636,617946089,277,197,3,CrossFit
637,465826131,496,55,3,Yoga
638,356425960,322,162,2,Personal Training
639,447491018,139,122,8,Pilates
640,961263436,321,151,2,Pilates
641,337445517,138,56,4,Strength Training
642,662127234,351,190,8,CrossFit
643,215094690,161,96,4,Strength Training
644,105668778,419,64,2,Strength Training
645,117895378,344,126,10,CrossFit
646,440849647,273,96,15,CrossFit
647,115634538,315,140,11,CrossFit
648,401039764,323,42,11,Personal Training
649,186799276,310,73,2,Pilates
650,470348028,151,152,6,Functional Training
651,526865997,300,44,9,Yoga
652,842650949,395,187,13,Functional Training
653,994842230,181,122,12,Pilates
654,865029371,278,154,12,Personal Training
655,591957975,179,122,12,Personal Training
656,175909013,133,124,11,Pilates
657,136071565,471,123,6,Pilates
658,668694649,450,183,5,Endurance Training
659,438592807,216,184,10,CrossFit
660,992323565,164,141,4,CrossFit
661,806532996,380,104,15,CrossFit
662,497966586,114,89,10,Yoga
663,778177688,331,185,12,CrossFit
664,848465994,270,104,9,Yoga
665,734574810,311,33,14,Yoga
666,889662494,281,49,15,Yoga
667,880375555,196,95,5,Personal Training
668,205919083,346,99,8,Personal Training
669,168294710,143,83,9,Endurance Training
670,165333345,198,55,12,Personal Training
671,999780969,314,140,13,Personal Training
672,408625571,337,155,10,Pilates
673,230420630,108,154,2,Personal Training
674,546720676,448,92,6,Strength Training
675,924618395,250,179,12,Yoga
676,408852172,478,62,15,Personal Training
677,781626445,232,174,10,Strength Training
678,811371760,413,69,11,Strength Training
679,885720429,324,134,5,Strength Training
680,239455032,188,129,5,Functional Training
681,182636427,272,123,13,Personal Training
682,608788837,436,166,6,Functional Training
683,896767104,454,143,7,Pilates
684,853511839,295,198,14,Endurance Training
685,932431342,470,40,10,Pilates
686,504784567,364,75,6,CrossFit
687,368796351,391,53,6,Personal Training
688,593359905,288,76,12,Personal Training
689,568269224,466,176,5,Yoga
690,731355693,383,130,13,Endurance Training
691,575500874,197,166,14,CrossFit
692,802920132,285,141,9,Endurance Training
693,816223495,268,198,14,Strength Training
694,992852266,463,75,8,Yoga
695,897821196,290,103,2,Pilates
696,557537429,175,139,14,CrossFit
697,640100071,421,179,13,Strength Training
698,812183382,148,168,5,Functional Training
699,697200982,128,194,9,CrossFit
700,873939656,368,41,6,CrossFit
701,122064990,199,181,3,Functional Training
702,531994633,412,38,5,Personal Training
703,498347644,172,180,6,CrossFit
704,238175190,369,51,13,CrossFit
705,584937791,467,130,14,Endurance Training
706,422180366,301,75,6,Strength Training
707,288743745,208,35,6,Pilates
708,133031745,459,187,15,Yoga
709,298895076,121,176,6,Pilates
710,776409347,482,178,3,Strength Training
711,482167189,109,35,11,Endurance Training
712,765044951,245,106,8,Personal Training
713,862102204,330,152,3,Personal Training
714,663269455,200,74,3,Pilates
715,501703047,354,48,6,Endurance Training
716,256526679,481,151,4,Endurance Training
717,451177661,184,73,13,CrossFit
718,779003123,497,48,9,Functional Training
719,833490454,483,193,6,Functional Training
720,468702125,313,69,7,Personal Training
721,294143865,457,196,4,Functional Training
722,422299313,120,188,12,Strength Training
723,318748966,480,58,6,CrossFit
724,795873801,132,148,4,Pilates
725,246433080,332,101,10,Yoga
726,450957086,336,141,8,Yoga
727,711252006,112,131,15,Pilates
728,590392964,498,57,5,Personal Training
729,252413927,167,71,13,Functional Training
730,432592399,397,183,5,Strength Training
731,586333276,125,48,4,Endurance Training
732,328864491,447,120,15,CrossFit
733,844823349,429,87,7,Strength Training
734,949429590,157,74,2,Functional Training
735,672390876,223,85,4,Endurance Training
736,723656042,308,49,15,Yoga
737,418072562,182,121,9,Endurance Training
738,874517605,416,80,14,Endurance Training
739,816286896,269,66,11,Functional Training
740,325889611,180,68,8,Endurance Training
741,379352885,261,71,7,Endurance Training
742,365362598,488,179,9,CrossFit
743,341889546,327,152,13,Personal Training
744,908275733,100,113,6,Strength Training
745,685184666,119,100,8,Strength Training
746,839497882,257,136,12,Personal Training
747,866346595,372,132,4,Strength Training
748,736026782,401,200,11,Pilates
749,643350965,357,45,11,Strength Training
750,188721046,420,110,4,Strength Training
751,733587464,333,161,2,Endurance Training
752,358666160,190,160,5,Strength Training
753,330716712,173,110,5,CrossFit
754,655047203,155,170,7,CrossFit
755,675918431,252,173,8,CrossFit
756,876872391,176,66,9,Yoga
757,317316656,338,127,15,Functional Training
758,902189068,229,112,11,Yoga
759,935760116,248,37,6,Endurance Training
760,501819939,145,136,4,Strength Training
761,315744428,241,42,14,Yoga
762,106078042,103,134,7,Personal Training
763,988989833,378,94,11,Yoga
764,310794153,296,96,4,Pilates
765,761666634,213,32,2,Personal Training
766,397666452,435,142,2,Yoga
767,877698241,262,37,12,CrossFit
768,303998892,316,76,9,Endurance Training
769,797052749,153,152,12,Yoga
770,291658358,244,178,13,Functional Training
771,923669398,329,189,9,Strength Training
772,316079116,264,39,3,Functional Training
773,847609344,444,196,11,Personal Training
774,750748524,249,54,12,Pilates
775,989779746,160,150,7,Endurance Training
776,778315970,455,72,8,Pilates
777,971097675,491,105,5,Strength Training
778,448026474,162,102,6,CrossFit
779,313806865,166,113,2,Strength Training
780,370339527,219,60,13,Personal Training
781,776763988,426,104,6,Yoga
782,936878009,358,92,13,Endurance Training
783,428044024,328,76,8,Personal Training
784,366402454,123,195,14,Functional Training
785,248195218,158,200,5,Pilates
786,747087471,374,63,3,CrossFit
787,426653138,411,177,8,Pilates
788,364433718,319,33,4,Pilates
789,166526519,443,150,15,CrossFit
790,560219333,352,163,15,Pilates
791,705813201,394,74,9,Personal Training
792,295597677,156,129,3,Functional Training
793,658589532,386,144,3,Personal Training
794,962950528,202,30,11,Pilates
795,861427312,490,135,10,CrossFit
796,747322724,499,63,10,Personal Training
797,345820344,168,68,2,Strength Training
798,385678239,423,90,9,Yoga
799,110793926,136,119,4,Strength Training
800,774146927,424,119,7,Strength Training
801,992729351,193,105,9,Personal Training
802,560278903,343,174,9,Strength Training
803,563170537,417,118,4,Yoga
804,468650010,165,163,13,Yoga
805,728162084,287,132,7,Endurance Training
806,799846604,209,189,9,Yoga
807,426126574,111,161,12,Endurance Training
808,918386578,348,112,4,Functional Training
809,966479082,407,41,9,Yoga
810,561806819,356,174,14,Yoga
811,840445958,101,98,13,Endurance Training
812,514698122,339,183,10,Yoga
813,233131088,189,123,2,Strength Training
814,979021527,231,54,12,Functional Training
815,704043460,233,42,10,Strength Training
816,428479336,131,148,12,Functional Training
817,254481451,430,51,2,Endurance Training
818,366237115,373,191,8,Yoga
819,846848940,280,104,2,CrossFit
820,209405148,493,84,6,Endurance Training
821,730949576,186,74,6,Strength Training
822,582171456,461,146,13,Yoga
823,208005119,163,35,8,Personal Training
824,877006847,187,196,12,Pilates
825,670668925,284,127,13,Personal Training
826,144021228,393,83,11,Personal Training
827,745831634,218,199,14,Strength Training
828,423571425,469,125,2,CrossFit
829,669117979,276,51,3,CrossFit
830,699584009,441,152,8,Pilates
831,211189393,203,141,9,Endurance Training
832,163499463,220,140,11,Yoga
833,857805447,267,54,8,Endurance Training
834,431093764,317,143,4,Endurance Training
835,426191182,129,182,3,CrossFit
836,396587237,215,62,8,Pilates
837,634105244,398,41,4,Pilates
838,446447919,465,102,10,Pilates
839,481320078,425,189,14,Strength Training
840,681093165,251,197,2,Strength Training
841,984926590,494,177,14,Strength Training
842,570576401,345,34,13,Yoga
843,941004873,474,65,6,CrossFit
844,462666657,206,38,11,Personal Training
845,198929097,403,130,4,Pilates
846,126053541,390,200,15,Functional Training
847,427795028,225,167,15,Functional Training
848,144392159,116,171,4,Strength Training
849,920065781,366,81,12,Strength Training
850,501973986,303,174,13,Personal Training
851,196020197,207,42,2,Pilates
852,813016312,266,158,15,Functional Training
853,142808428,405,74,14,Functional Training
854,558691089,211,154,12,Pilates
855,173925665,291,171,3,Pilates
856,155879068,363,154,10,Strength Training
857,732992813,381,113,3,Personal Training
858,884240000,243,191,5,CrossFit
859,166141064,442,180,11,Functional Training
860,326417899,146,31,6,Strength Training
861,991172008,274,83,11,Personal Training
862,564010488,258,156,12,CrossFit
863,482871641,392,149,13,Strength Training
864,633957094,320,52,11,CrossFit
865,507046384,185,102,15,CrossFit
866,577363865,460,147,13,Personal Training
867,667216663,384,112,14,Pilates
868,238795723,473,168,11,Personal Training
869,849681253,260,45,5,Strength Training
870,988468904,477,46,9,Strength Training
871,292512202,438,143,15,CrossFit
872,179171655,377,63,7,Functional Training
873,500407934,400,40,13,Endurance Training
874,501031963,221,133,9,Pilates
875,166534148,367,105,12,Yoga
876,768123160,418,196,4,Functional Training
877,476102335,302,111,14,Strength Training
878,791030986,312,62,8,Endurance Training
879,633665836,135,168,3,Strength Training
880,259317771,271,96,6,CrossFit
881,163701990,353,155,6,Endurance Training
882,364907309,472,104,14,Endurance Training
883,420280542,342,92,2,Strength Training
884,658456234,440,185,13,Endurance Training
885,258027174,118,135,14,Pilates
886,268238576,439,88,10,CrossFit
887,610331628,410,163,10,Personal Training
888,685940056,451,51,3,Personal Training
889,637606979,279,169,14,Endurance Training
890,200643435,492,125,14,Functional Training
891,600476000,453,89,2,Personal Training
892,723444174,370,147,2,Pilates
893,319433486,240,71,11,Personal Training
894,473465304,371,169,9,Personal Training
895,766905705,102,115,3,Yoga
896,706049162,389,135,13,Functional Training
897,953007127,304,117,11,Strength Training
898,348974089,212,68,14,Pilates
899,939015944,307,50,4,Endurance Training
900,490360874,297,102,10,Endurance Training
901,249847687,254,190,15,Pilates
902,535178156,464,72,12,Endurance Training
903,961706078,152,178,9,Strength Training
904,993027155,445,77,7,Strength Training
905,580161149,350,155,3,Functional Training
906,678685236,387,33,14,CrossFit
907,148841783,468,189,10,Pilates
908,787915817,242,51,13,Pilates
909,365627070,414,93,2,Functional Training
910,491640103,137,110,13,Pilates
911,412337947,239,59,15,Strength Training
912,562696093,230,152,11,Pilates
913,270312426,404,89,15,Yoga
914,630382785,174,91,8,Functional Training
915,160321258,341,113,13,Endurance Training
916,683825464,309,193,15,Strength Training
917,930796257,124,190,13,Pilates
918,613045072,236,69,6,Personal Training
919,644144852,335,172,2,Functional Training
920,206042507,365,91,14,CrossFit
921,393283020,205,94,11,Pilates
922,681735568,298,134,14,Yoga
923,970943357,237,144,9,Endurance Training
924,524316638,256,161,2,Strength Training
925,447185391,361,82,13,CrossFit
926,751827117,122,167,9,Personal Training
927,352732109,422,33,3,Pilates
928,304707043,431,72,10,CrossFit
929,812998202,427,105,9,Functional Training
930,524180253,456,82,7,Endurance Training
931,379819670,325,63,11,Personal Training
932,898494315,192,172,14,Strength Training
933,876551276,434,41,8,Pilates
934,303422630,141,144,15,Personal Training
935,782091603,409,134,8,Pilates
936,339589106,360,85,7,Pilates
937,616443943,449,86,14,Personal Training
938,886351820,485,117,7,Strength Training
939,662898471,226,57,3,Personal Training
940,488283920,462,117,15,Endurance Training
941,975808289,130,83,14,Strength Training
942,304494790,159,99,5,Strength Training
943,104022382,104,71,11,Strength Training
944,604693539,224,80,4,Endurance Training
945,852133972,191,128,2,Functional Training
946,365075494,235,161,12,Personal Training
947,785786542,299,178,6,Personal Training
